Unnamed: 0,X1,age,gender,height,weight,steps,hear_rate,calories,distance,entropy_heart,entropy_setps,resting_heart,corr_heart_steps,norm_heart,intensity_karvonen,sd_norm_heart,steps_times_distance,device,activity,steps_standardized,hear_rate_standardized
1,1,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.2216117239699,6.11634856607516,59.0,1.0,19.5313023809524,0.138519875042215,1.0,0.0896921469387755,apple watch,Lying,-0.4434100848882739,-0.2656704389989012
2,2,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,11.4753246753247,78.4533902777777,3.28762546296296,0.0088963463203463,6.2216117239699,6.11634856607516,59.0,1.0,19.4533902777777,0.137967306934594,1.0,0.102088462450104,apple watch,Lying,-0.44025073698240985,-0.26839003744200096
3,3,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,12.1792207792208,78.5408250801282,9.484,0.0094658354978355,6.2216117239699,6.11634856607516,59.0,1.0,19.5408250801282,0.138587411915803,1.0,0.115286500387924,apple watch,Lying,-0.4370913890765458,-0.265338039836289
4,4,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,12.8831168831169,78.6282598824786,10.1545555555556,0.0100353246753247,6.2216117239699,6.11634856607516,59.0,1.0,19.6282598824786,0.139207516897011,1.0,0.129286260752235,apple watch,Lying,-0.4339320411706818,-0.26228604223058055
5,5,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,13.587012987013,78.715694684829,10.8251111111111,0.0106048138528139,6.2216117239699,6.11634856607516,59.0,0.982815702386645,19.715694684829,0.13982762187822,0.241567027237508,0.144087743543037,apple watch,Lying,-0.43077269326481776,-0.2592340446248721
6,6,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,14.2909090909091,78.8031294871795,11.4956666666667,0.011174303030303,6.2216117239699,6.11634856607516,59.0,1.0,19.8031294871795,0.140447726859429,0.264722010296716,0.159690948760331,apple watch,Sitting,-0.42761334535895373,-0.2561820470191602
7,7,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,14.9948051948052,78.8905642895299,12.1662222222222,0.0117437922077922,6.2216117239699,6.11634856607516,59.0,1.0,19.8905642895299,0.141067831840637,0.264722010296716,0.176095876404115,apple watch,Sitting,-0.42445399745308976,-0.2531300494134517
8,8,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,15.6987012987013,78.9779990918803,12.8367777777778,0.0123132813852814,6.2216117239699,6.11634856607516,59.0,1.0,19.9779990918803,0.141687936821846,0.264722010296717,0.193302526474391,apple watch,Sitting,-0.42129464954722573,-0.25007805180774323
9,9,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,16.4025974025974,79.0654338942307,13.5073333333333,0.0128827705627706,6.2216117239699,6.11634856607516,59.0,1.0,20.0654338942307,0.142308041803055,0.264722010296718,0.211310898971159,apple watch,Sitting,-0.4181353016413617,-0.24702605420203527
10,10,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,17.1064935064935,79.1528686965812,14.1778888888889,0.0134522597402597,6.2216117239699,6.11634856607516,59.0,1.0,20.1528686965812,0.142928146784264,0.264722010296718,0.230120993894417,apple watch,Sitting,-0.4149759537354976,-0.24397405659632335
11,11,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,17.8103896103896,79.2403034989316,14.8484444444444,0.0140217489177489,6.2216117239699,6.11634856607516,59.0,1.0,20.2403034989316,0.143548251765472,0.264722010296718,0.249732811244167,apple watch,Self Pace walk,-0.41181660582963364,-0.2409220589906149
12,12,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,18.5142857142857,79.327738301282,15.519,0.0145912380952381,6.2216117239699,6.11634856607516,59.0,1.0,20.327738301282,0.144168356746681,0.264722010296717,0.270146351020408,apple watch,Self Pace walk,-0.40865725792376956,-0.23787006138490643
13,13,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,19.2181818181818,79.4151731036325,15.506875,0.0151607272727273,6.2216117239699,6.11634856607516,59.0,1.0,20.4151731036325,0.14478846172789,0.264722010296716,0.29136161322314,apple watch,Self Pace walk,-0.4054979100179055,-0.2348180637791945
14,14,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,19.9220779220779,79.5026079059829,15.49475,0.0157302164502164,6.2216117239699,6.11634856607516,59.0,1.0,20.5026079059829,0.145408566709098,0.264722010296716,0.313378597852364,apple watch,Self Pace walk,-0.4023385621120415,-0.23176606617348602
15,15,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,20.625974025974,79.5900427083333,15.482625,0.0162997056277056,6.2216117239699,6.11634856607516,59.0,1.0,20.5900427083333,0.146028671690307,0.264722010296716,0.336197304908079,apple watch,Self Pace walk,-0.39917921420617747,-0.22871406856777757
16,16,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,21.3298701298701,79.6774775106837,15.4705,0.0168691948051948,6.2216117239699,6.11634856607516,59.0,1.0,20.6774775106837,0.146648776671516,0.264722010296717,0.359817734390285,apple watch,Self Pace walk,-0.39601986630031344,-0.2256620709620691
17,17,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,22.0337662337662,79.7649123130342,15.458375,0.017438683982684,6.2216117239699,6.11634856607516,59.0,1.0,20.7649123130342,0.147268881652725,0.264722010296718,0.384239886298982,apple watch,Self Pace walk,-0.39286051839444946,-0.22261007335635719
18,18,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,22.7376623376623,79.8523471153846,15.44625,0.0180081731601732,6.2216117239699,6.11634856607516,59.0,1.0,20.8523471153846,0.147888986633933,0.26472201029672,0.409463760634171,apple watch,Self Pace walk,-0.38970117048858544,-0.21955807575064873
19,19,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,23.4415584415584,79.939781917735,15.434125,0.0185776623376623,6.2216117239699,6.11634856607516,59.0,1.0,20.939781917735,0.148509091615142,0.26472201029672,0.435489357395851,apple watch,Self Pace walk,-0.3865418225827214,-0.21650607814494024
20,20,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,24.1454545454545,80.0272167200854,15.422,0.0191471515151515,6.2216117239699,6.11634856607516,59.0,1.0,21.0272167200854,0.149129196596351,0.264722010296718,0.462316676584022,apple watch,Self Pace walk,-0.3833824746768574,-0.2134540805392318
21,21,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,24.8493506493507,80.1146515224359,15.409875,0.0197166406926407,6.2216117239699,6.11634856607516,59.0,1.0,21.1146515224359,0.149749301577559,0.264722010296717,0.489945718198684,apple watch,Self Pace walk,-0.3802231267709929,-0.21040208293351986
22,22,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,25.5532467532468,80.2020863247863,15.39775,0.0202861298701299,6.2216117239699,6.11634856607516,59.0,1.0,21.2020863247863,0.150369406558768,0.264722010296716,0.518376482239838,apple watch,Lying,-0.3770637788651289,-0.2073500853278119
23,23,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,26.2571428571429,80.2895211271367,15.385625,0.020855619047619,6.2216117239699,6.11634856607516,59.0,1.0,21.2895211271367,0.150989511539977,0.264722010296716,0.547608968707483,apple watch,Lying,-0.37390443095926484,-0.20429808772210345
24,24,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,26.961038961039,80.3769559294872,15.3735,0.0214251082251082,6.2216117239699,6.11634856607516,59.0,1.0,21.3769559294872,0.151609616521185,0.264722010296716,0.577643177601619,apple watch,Lying,-0.37074508305340076,-0.2012460901163915
25,25,0.05263157894736842,1,0.5208333333333334,0.31111111111111117,27.6649350649351,80.4643907318376,15.361375,0.0219945974025974,6.2216117239699,6.11634856607516,59.0,1.0,21.4643907318376,0.152229721502394,0.264722010296717,0.608479108922247,apple watch,Lying,-0.3675857351475368,-0.19819409251068304
